student_id,cycle_start_time,cycle_end_time,recovery_score_pct,hrv_rmssd_milli,resting_heart_rate_bpm,day_strain,energy_burned_cal,avg_heart_rate_bpm,max_heart_rate_bpm,respiratory_rate_rpm,blood_oxygen_pct,skin_temp_celsius
S001,2024-09-02T00:00:00,2024-09-02T23:59:59,76.6,66.6,52,15.95,3132,75,166,15,97.8,33.67
S001,2024-09-03T00:00:00,2024-09-03T23:59:59,84.9,69,51,14.18,3142,72,158,17.3,97,33.7
S001,2024-09-04T00:00:00,2024-09-04T23:59:59,78.4,67.1,54,10.57,2772,70,129,16.6,98.2,33.68
S001,2024-09-05T00:00:00,2024-09-05T23:59:59,93.9,76.9,46,11.45,2855,63,136,15.2,98.3,33.72
S001,2024-09-06T00:00:00,2024-09-06T23:59:59,84.6,58.2,55,11.69,2884,73,137,16,97.6,34.21
S001,2024-09-07T00:00:00,2024-09-07T23:59:59,78.5,71.7,51,17.7,3135,78,186,16.8,97.7,34.18
S001,2024-09-08T00:00:00,2024-09-08T23:59:59,69.8,59.2,55,17.75,3366,82,183,16.9,98.6,33.75
S001,2024-09-09T00:00:00,2024-09-09T23:59:59,70.3,53.9,52,12.42,3116,71,156,16.3,97.4,34.14
S001,2024-09-10T00:00:00,2024-09-10T23:59:59,84.2,63.1,50,12.12,3118,68,144,15.7,97.4,34.17
S001,2024-09-11T00:00:00,2024-09-11T23:59:59,76.9,78.6,55,12.69,3094,74,142,18.9,97.2,33.79
S001,2024-09-12T00:00:00,2024-09-12T23:59:59,88.8,75.1,53,11.67,3081,71,153,16.5,98.5,33.79
S001,2024-09-13T00:00:00,2024-09-13T23:59:59,79,67.1,51,10.48,2676,67,132,16.1,97.3,33.61
S001,2024-09-14T00:00:00,2024-09-14T23:59:59,54.2,73.7,54,12.83,2844,73,147,16.2,98.9,33.27
S001,2024-09-15T00:00:00,2024-09-15T23:59:59,69.2,59.6,56,17.67,2924,82,178,15.9,97.5,33.8
S001,2024-09-16T00:00:00,2024-09-16T23:59:59,99,70.2,57,10.94,2832,74,135,16.5,98.9,32.96
S001,2024-09-17T00:00:00,2024-09-17T23:59:59,74.2,68.3,52,9.95,2954,67,140,16.9,96.9,33.68
S001,2024-09-18T00:00:00,2024-09-18T23:59:59,71.9,70.6,46,13.21,3045,66,144,16.9,98.7,33.78
S001,2024-09-19T00:00:00,2024-09-19T23:59:59,73,67.6,53,16.44,3064,77,174,15.9,97.6,33.99
S001,2024-09-20T00:00:00,2024-09-20T23:59:59,80.9,85.2,53,13.46,3030,73,162,17.4,97.6,34.06
S001,2024-09-21T00:00:00,2024-09-21T23:59:59,67.8,64.1,54,9.77,2819,68,132,16.5,96.7,34.02
S001,2024-09-22T00:00:00,2024-09-22T23:59:59,76,56.1,54,14.09,2896,75,152,16.6,97.9,33.51
S001,2024-09-23T00:00:00,2024-09-23T23:59:59,68.1,70.7,51,16.07,3356,76,159,15.8,98.2,33.32
S001,2024-09-24T00:00:00,2024-09-24T23:59:59,97,67.9,61,13.09,3056,81,158,15.8,96.9,33.83
S001,2024-09-25T00:00:00,2024-09-25T23:59:59,87.1,70.8,55,14.02,3088,76,169,15.3,95.7,34.38
S001,2024-09-26T00:00:00,2024-09-26T23:59:59,63,63.6,54,15.93,3414,78,161,16,96.2,33.58
S001,2024-09-27T00:00:00,2024-09-27T23:59:59,67.8,63.2,53,13.03,3061,73,155,16.1,97.9,34.42
S001,2024-09-28T00:00:00,2024-09-28T23:59:59,78.5,72,54,13,2750,74,153,15.6,96.6,34.12
S001,2024-09-29T00:00:00,2024-09-29T23:59:59,84.2,65.8,51,12.4,2707,70,151,16.9,97.3,34.21
S001,2024-09-30T00:00:00,2024-09-30T23:59:59,87.9,71.9,65,14.12,3171,86,178,16.4,97.3,34.96
S001,2024-10-01T00:00:00,2024-10-01T23:59:59,85,62.7,56,18.16,3211,83,175,15.1,98.7,33.74
S001,2024-10-02T00:00:00,2024-10-02T23:59:59,81.5,61.8,47,9.14,2814,61,117,16.5,98.3,34.2
S001,2024-10-03T00:00:00,2024-10-03T23:59:59,65.4,60.2,54,17.6,3235,80,171,17.1,98.8,33.26
S001,2024-10-04T00:00:00,2024-10-04T23:59:59,70.9,71,59,14.3,2956,80,163,15.7,97.4,33.17
S001,2024-10-05T00:00:00,2024-10-05T23:59:59,81.9,68.2,58,10.57,2470,74,134,15.8,97.1,33.66
S001,2024-10-06T00:00:00,2024-10-06T23:59:59,70.3,84,54,9.44,2877,68,137,15.9,97.5,34.03
S001,2024-10-07T00:00:00,2024-10-07T23:59:59,85.6,62.6,50,13.2,3354,70,157,15.5,98.9,33.66
S001,2024-10-08T00:00:00,2024-10-08T23:59:59,94.1,70,47,19.22,3482,76,189,14.7,97.7,33.43
S001,2024-10-09T00:00:00,2024-10-09T23:59:59,93.8,78.2,54,12.82,3060,73,145,15.4,97,34.64
S001,2024-10-10T00:00:00,2024-10-10T23:59:59,84.5,68.8,48,18.61,3475,76,189,16.1,97,33.41
S001,2024-10-11T00:00:00,2024-10-11T23:59:59,54.9,63.7,60,18.6,3500,88,190,18,97.5,34.04
S001,2024-10-12T00:00:00,2024-10-12T23:59:59,76.8,61.1,48,12.35,2744,67,132,16.9,97.5,34.59
S001,2024-10-13T00:00:00,2024-10-13T23:59:59,89.1,63.5,51,10.16,2719,66,128,15.5,98.6,34.11
S001,2024-10-14T00:00:00,2024-10-14T23:59:59,70.4,82.3,51,12.13,2853,70,137,17,97,34.04
S001,2024-10-15T00:00:00,2024-10-15T23:59:59,57.2,77.1,48,9.36,2635,62,120,15.8,97.5,33.8
S001,2024-10-16T00:00:00,2024-10-16T23:59:59,66.1,72.5,49,11.89,2784,67,147,16.4,95.8,33.98
S001,2024-10-17T00:00:00,2024-10-17T23:59:59,80,70.9,46,13.86,2843,67,144,17.5,97.5,33.05
S001,2024-10-18T00:00:00,2024-10-18T23:59:59,78.7,69.7,52,17.04,3268,78,168,15.9,96.5,34.16
S001,2024-10-19T00:00:00,2024-10-19T23:59:59,74.1,59.2,52,17.85,3500,79,178,16.2,97.5,33.56
S001,2024-10-20T00:00:00,2024-10-20T23:59:59,89.3,86,51,14.11,3049,72,159,17.8,96.1,34.04
S001,2024-10-21T00:00:00,2024-10-21T23:59:59,91.4,67.2,60,12.57,2712,79,156,15.4,96,33.77
S001,2024-10-22T00:00:00,2024-10-22T23:59:59,91.2,60.1,49,14.51,3075,71,159,17.3,97.6,33.2
S001,2024-10-23T00:00:00,2024-10-23T23:59:59,77.4,71.2,51,16.14,3063,76,172,17.1,97.9,34.08
S001,2024-10-24T00:00:00,2024-10-24T23:59:59,77,65.2,48,15.92,3037,72,165,16.5,96,34.32
S001,2024-10-25T00:00:00,2024-10-25T23:59:59,71.4,53.1,52,11.77,3092,70,152,16.2,97.5,32.82
S001,2024-10-26T00:00:00,2024-10-26T23:59:59,63.5,74.5,47,13.23,3020,67,143,16.8,97.3,33.85
S001,2024-10-27T00:00:00,2024-10-27T23:59:59,73.6,60.7,54,16.62,3391,79,175,17,98.3,33.88
S001,2024-10-28T00:00:00,2024-10-28T23:59:59,92.1,69.9,55,16.3,3363,79,178,16.4,97.7,34.23
S001,2024-10-29T00:00:00,2024-10-29T23:59:59,65.9,77.2,54,12.54,2987,72,146,16.3,94.2,33.27
S001,2024-10-30T00:00:00,2024-10-30T23:59:59,67.8,56.7,48,10.78,2974,64,125,16,98,33.84
S001,2024-10-31T00:00:00,2024-10-31T23:59:59,71.8,59,53,18,3293,80,174,15.7,96.5,33.28
S001,2024-11-01T00:00:00,2024-11-01T23:59:59,88.9,49.2,53,14.56,2959,75,164,17.3,98.3,33.67
S001,2024-11-02T00:00:00,2024-11-02T23:59:59,91.6,73.6,51,13.37,3057,71,161,14.7,97.2,33.65
S001,2024-11-03T00:00:00,2024-11-03T23:59:59,79.9,60.8,49,15.25,2932,71,152,16.2,98.4,33.05
S001,2024-11-04T00:00:00,2024-11-04T23:59:59,91.8,65.2,55,10.75,2546,71,146,16.7,98.1,33.71
S001,2024-11-05T00:00:00,2024-11-05T23:59:59,66.8,65.8,46,15.8,3103,70,168,17.8,97.7,33.61
S001,2024-11-06T00:00:00,2024-11-06T23:59:59,78.4,76.9,49,12.64,3342,68,151,16.5,97.7,34.11
S001,2024-11-07T00:00:00,2024-11-07T23:59:59,66.9,81.9,51,12.28,3422,69,145,16.3,98.6,34.21
S001,2024-11-08T00:00:00,2024-11-08T23:59:59,78.8,55.8,49,11.89,2937,67,137,15.9,97.7,34.55
S001,2024-11-09T00:00:00,2024-11-09T23:59:59,68.1,63.6,48,13.69,3017,68,145,15.5,97.3,33.42
S001,2024-11-10T00:00:00,2024-11-10T23:59:59,82.7,71.6,56,16.31,3189,80,178,15.7,97.7,34.36
S001,2024-11-11T00:00:00,2024-11-11T23:59:59,90.1,66.6,52,15.33,3169,75,164,16.7,97.6,33.88
S001,2024-11-12T00:00:00,2024-11-12T23:59:59,73.9,89.4,46,12.93,3258,66,145,17.3,95.9,33.86
S001,2024-11-13T00:00:00,2024-11-13T23:59:59,67.4,69.6,53,14.94,3309,75,154,15.9,97.9,33.35
S001,2024-11-14T00:00:00,2024-11-14T23:59:59,75.7,66.1,55,16.79,2996,80,178,18.6,98.5,34.38
S001,2024-11-15T00:00:00,2024-11-15T23:59:59,79.8,62.5,48,13.81,2657,68,153,16.8,98.2,33.77
S001,2024-11-16T00:00:00,2024-11-16T23:59:59,65.3,59.7,55,13.65,3090,75,148,17.3,97.8,34.06
S001,2024-11-17T00:00:00,2024-11-17T23:59:59,88.9,68.1,49,13.05,3019,69,151,17.4,97.2,33.27
S001,2024-11-18T00:00:00,2024-11-18T23:59:59,93.6,61.5,48,11.6,3088,65,146,15.9,96.4,33.6
S001,2024-11-19T00:00:00,2024-11-19T23:59:59,79.8,65.3,54,16.05,3161,78,174,15.2,97.4,34.05
S001,2024-11-20T00:00:00,2024-11-20T23:59:59,70.6,49.8,47,14.19,3101,69,147,16.3,96.9,33.98
S001,2024-11-21T00:00:00,2024-11-21T23:59:59,99,79.1,55,11.39,3500,72,134,15.2,97.2,33.45
S001,2024-11-22T00:00:00,2024-11-22T23:59:59,78.4,59,47,9.67,2891,61,117,17.2,96.9,33.36
S001,2024-11-23T00:00:00,2024-11-23T23:59:59,72.8,73.9,48,9.87,2644,63,134,17.3,97,34.97
S001,2024-11-24T00:00:00,2024-11-24T23:59:59,67.5,65.3,51,16.23,3374,75,171,16,95.1,33.66
S001,2024-11-25T00:00:00,2024-11-25T23:59:59,68,65.8,53,16.39,3195,78,173,15.1,97.5,33.46
S001,2024-11-26T00:00:00,2024-11-26T23:59:59,87.6,64.2,51,12.99,3250,71,150,16,97.5,34.09
S001,2024-11-27T00:00:00,2024-11-27T23:59:59,73.8,66.9,61,13.93,2939,82,169,16.3,98,33.29
S001,2024-11-28T00:00:00,2024-11-28T23:59:59,70,67.6,58,8.17,2700,70,127,17.2,96.2,34.55
S001,2024-11-29T00:00:00,2024-11-29T23:59:59,92.5,57,51,18.56,2912,79,178,17.2,96,33.75
